kanji	index	reading	sentence
中	6	なか	アジア が 注目 さ れる 中 、 日本 の 株価 騰落 率 は マイナス 3 % 。
中	8	なか	種類 も 多数 追加 さ れ 、 中 に は 魔力 を 高める もの や 、 他 の 種族 で は 扱え ない 攻撃 が できる もの が 存在 する 。
中	26	なか	また 、 流行 カラー の キャメル 色 の コート を 羽織り 、 スモッグ 効果 と 照明 を 利用 し た 神秘 的 な 背景 の 中 で も 、 シック な 魅力 を 発揮 し た 。
中	20	チュウ	さらに 、 この 件 に つい て は 海江田 大臣 を 通じ て 、 経済 産業 省 が 準備 中 で ある こと を 明らか に し まし た 。
中	10	チュウ	チェック イン の 際 、 フロント にて 「 キャンペーン 中 」 と の こと で 、 1 泊 1400 元 で プレミアム ツイン ルーム に アップグレード し まし た 。
中	2	チュウ	著書 中 で 、 当時 処刑 に 対し て 同情 を 集め て い た 近藤 勇 を 思い切り 批判 する 。
中	35	チュウ	主に ロシア や フランス の 映画 で 活躍 し て おり 、 特に 1994 年 に 製作 さ れ た ニキータ ・ ミハルコフ の 『 太陽 に 灼か れ て 』 で は ヨーロッパ 中 で 高い 評価 を 受け た 。
中	9	ジュウ	店内 に は 、 電源 が そこ ら 中 に あり 、 電波 も 良好 。
中	17	なか	流産 や 死産 の とき , 身体 が バラバラ に なる ところ を , 寒空 の 中 説明 さ れ , 身 も 心 も ガクガク ブルブル と 震える 。
中	3	なか	トラ の 中 で 最も 体 が 大きく 、 最大 で 全長 3 m 、 体重 350 キロ に も 成長 する と いう 。
中	4	なか	記者 が 知る 中 で 脱会 を 考える 信者 が 家族 と 話し合い を する ため に 統一 教会 と 連絡 を 絶っ た ケース が あっ た が , その 際 に 信者 が 所属 し て い た ある 地区 教会 の 幹部 は 信者 の 親族 に 成り済まし 所轄 警察 署 に 捜索 願い を 出し た こと が 判っ て いる 。
中	8	チュウ	AUTO の 指示 に より 機能 停止 中 の EVE から 植物 を 盗む が 、 後 に AUTO と 艦長 の 乱闘 中 に 破壊 さ れ て しまう 。
