kanji	index	reading	sentence
体	12	タイ	西 アフリカ 地域 で は 、 西 アフリカ 諸国 経済 共同 体 Economic Communitiy of West African States , 略称 : ECOWAS ) を 結成 し 、 西 アフリカ 諸国 が 密接 し て 経済 発展 に 寄与 する 機関 を 設置 し て いる 。
体	6	タイ	会社 、 企業 、 事業 体 、 機関 、 団体 に よっ て 行わ れる 社会 に 危害 を 及ぼす 行為 の うち 、 法律 で 犯罪 と 規定 さ れ て いる もの を 「 単位 犯罪 」 と いう 。
体	16	からだ	お せわ 整体 院 は その 行き帰り の 途中 に あっ て 、 自分 の 体 の ゆがみ を もっと 知り たく て 通っ て ます 。
体	18	タイ	バルイオール が 戦っ て いる 相手 で ある 、 全 宇宙 の 侵略 を 目論む 機械 生命 体 の 集団 。
体	6	からだ	トラ の 中 で 最も 体 が 大きく 、 最大 で 全長 3 m 、 体重 350 キロ に も 成長 する と いう 。
体	9	タイ	彼 を 倒す と いう こと は 崩壊 体 化 を 防ぐ 手段 が なくなる こと を 意味 し 、 ゲシュタルト 計画 を 管理 し て い た デボル と ポポル も 死ん で しまっ た ため 新た に レプリカント 体 が 誕生 する こと も なくなり 、 人類 は 絶滅 する こと に なる 。
体	41	タイ	彼 を 倒す と いう こと は 崩壊 体 化 を 防ぐ 手段 が なくなる こと を 意味 し 、 ゲシュタルト 計画 を 管理 し て い た デボル と ポポル も 死ん で しまっ た ため 新た に レプリカント 体 が 誕生 する こと も なくなり 、 人類 は 絶滅 する こと に なる 。
体	2	タイ	自治 体 中心 地区 は ビラサンテ 教区 の エスカイロン 地区 。
体	24	タイ	本務 の 傍ら で 首長 や 政治 家 、 経営 者 の アドバイザー 、 企業 の 監査 役 、 政府 委員 、 自治 体 の 各種 委員 等 を 務める 。
体	7	からだ	だ が 、 その 後 は 体 を 張っ た 守備 で 追加 点 を 与え ず 、 後半 8 分 に は 右 サイド の スナイダー の クロス に 猛然 と 飛び込み 、 ゴール に つながる 働き を 見せ た 。
体	9	からだ	特に 、 脳 卒中 、 ポリオ など 、 体 に 障碍 が 残る 後遺 症 を 抱える 病気 の ご 経験 が 豊富 で 、 適切 な アドバイス を し て 下さり ます 。
体	16	タイ	後 に デビル Z に より 、 ハイドラー と 共 に 完全 な ロボット 生命 体 と なる 。
体	31	タイ	羊 で は 症状 と し て 皮膚 など の 上皮 に 丘疹 、 水疱 を 形成 し 、 病変 部 の 細胞 内 に は 細胞 質 内 封入 体 が 形成 さ れる 。
体	17	タイ	一部 は 被災 児童 の 教育 資金 と し て 石碑 を 設置 し た 自治 体 に 寄付 する 。
体	9	タイ	これ ら の 写真 は 高 持続 蛍光 体 に 被せ られ た 低速 スキャン モニター で 表示 さ れ た 。
体	9	タイ	2 つ の 切断 ドメイン が 二 量 体 化 し 且つ DNA を 切断 する ため に は 、 個々 の ZFN が DNA の 異なる 鎖 を 認識 し 、 各 C 末端 が 一定 の 間隔 に なる よう に DNA に 結合 し なけれ ば なら ない 。
体	5	タイ	一見 すれ ば 肥満 体 の 巨漢 だ が 、 見 た 目 に 反し て 身軽 で あり 、 手裏 剣 など を 脂肪 で 完全 に ガード する 特殊 な 体 を 持つ 。
体	33	からだ	一見 すれ ば 肥満 体 の 巨漢 だ が 、 見 た 目 に 反し て 身軽 で あり 、 手裏 剣 など を 脂肪 で 完全 に ガード する 特殊 な 体 を 持つ 。
体	17	タイ	サイト 内 の 記述 に よる と この スーパー 浄霊 と いう の は 数 万 体 の 霊 を 一挙 に 供養 する モノ な の だ そう です 。
体	16	タイ	数百 人 規模 の ホタル 愛好 家 、 保護 団体 、 研究 者 、 自治 体 関係 者 が 集まる 予定 です 。
体	7	タイ	一方 で 欧州 原子 力 共同 体 は 、 欧州 石炭 鉄鋼 共同 体 の よう な 有効 期限 は 定め られ て い ない ため 存続 し て いる 。
体	1	からだ	体 を 小さく し て 運動 量 を 増やす ため に 使用 する 。
体	3	タイ	革新 自治 体 と なる 。
体	5	タイ	ほか に 被災 自治 体 の 上下 水道 、 ガス 、 港湾 施設 に つい て も 、 復旧 から その 後 の 事業 運営 まで を 民間 に 委ねる 方式 も 視野 に 入れる 。
体	1	からだ	体 の 中 から キレイ に なれ そう です 。
体	22	タイ	物質 が 有する 粘弾 性 の うち 弾性 に 特に 着目 し た 場合 、 弾性 を 有する 物質 を 弾性 体 と 呼ぶ 。
体	3	からだ	さらに は 体 が 透け 始める 。
体	14	タイ	地震 や 津波 の 被害 から の 復興 に 向け 奔走 する 自治 体 、 東京 電力 福島 第 1 原発 事故 の 対応 に 追わ れ 、 来春 組織 再編 で 名前 が 消える 経済 産業 省 原子 力 安全 ・ 保安 院 など が 、 厳しかっ た この 1 年 の 締めくくり を 迎え た が 、 職員 ら は 「 休ん で いる 暇 は ない 」 と 表情 を 崩さ なかっ た 。
体	7	タイ	植物 、 脳 の ない クローン 体 、 自我 を 持た ない 機械 は 知力 0 で あり 、 意識 を 持た ない - 200 CP の 「 特徴 」 と なる 。
体	6	タイ	「 卵 」 の 集合 体 。
体	20	タイ	こんな やり 方 で 「 虎の子 」 の 剰余 金 を 使わ れる と 着工 を 待つ 沿線 自治 体 は 納得 でき まい 。
体	14	からだ	選択 する と 技 が 上昇 し 、 心 が 若干 低下 、 体 が 僅か に 低下 する 。
体	11	タイ	『 宇宙 交響 詩 - 』 で 自身 の クローン 体 に 使用 し た ほか 、 ラーメタル を 脱出 する 際 に は 娘 の メーテル を 抱き締め て その 半分 を 奪い取り 、 それ を 利用 し て アンドロイド を 多数 生み出し た 。
体	3	タイ	地方 自治 体 に よる オウム 信者 の 転入 拒否 は , かつて 全国 で 問題 と なり まし た が , オウム 側 が 訴訟 を 起こし , 各 自治 体 が 次々 と 敗訴 。
体	32	タイ	地方 自治 体 に よる オウム 信者 の 転入 拒否 は , かつて 全国 で 問題 と なり まし た が , オウム 側 が 訴訟 を 起こし , 各 自治 体 が 次々 と 敗訴 。
体	11	からだ	なん と 陽菜 さん が 上 半身 も 露わ に 体 を 拭い て いる 現場 を 一馬 は 目撃 し て しまい ます 。
体	3	からだ	人間 の 体 の 仕組み に 関する ラエリアン の 感性 は かなり 独特 です 。
体	4	タイ	ただ 周辺 自治 体 の 理解 は 得 られ て おら ず 前途 多難 だ 。
体	6	からだ	長年 使っ て き た 体 の 一部 です から , 細胞 が 傷つい たり 汚れ たり し て い ます 。
体	10	タイ	幼少 時 より 間食 を 好ん だ ため 肥満 体 で 、 終戦 直後 の 食糧 難 の 時代 に も 恰幅 の よい 体躯 を 誇っ た 。
体	4	からだ	勝平 に 無理やり 体 を 奪わ れ そう に なっ て い た 瑠璃子 を 救う ため 勝平 を 殺害 し 、 服役 。
体	18	からだ	人間 の 体 は 何百 万 年 前 から その こと を 知っ て い て 、 体 の 中 に ウイルス 等 の 外敵 が 侵入 し て くる と 、 彼 ら と 戦う ため に 脳 から 全身 の 細胞 に 指令 を 出し て 熱 を 出し て いる そう です 。
体	23	からだ	よく 見る と 、 背中 や 腹 に ある ぶち 模様 が いずれ も ハート の 形 を し て おり 「 体 全体 に ハート が ある 猫 」 と 口コミ で 広がっ た と いう 。
